nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (5/5)] P-Loss: 44.055 | M-Loss: 129.134:   0%|                          | 30/5000000 [00:52<2443:17:16,  1.76s/it]
[LGN (1/1)] P-Loss: 5.085 | M-Unroll: 87.484:   0%|                           | 30/5000000 [00:53<2443:17:16,  1.76s/it]
[LGN (1/1)] P-Loss: 5.085 | M-Unroll: 87.484:   0%|                           | 31/5000000 [00:53<2353:47:32,  1.69s/it]
[Work (1/5)] P-Loss: 52.040 | M-Loss: 137.169:   0%|                          | 31/5000000 [00:55<2353:47:32,  1.69s/it]
[Work (1/5)] P-Loss: 52.040 | M-Loss: 137.169:   0%|                          | 32/5000000 [00:55<2368:05:16,  1.71s/it]
[Work (2/5)] P-Loss: 56.704 | M-Loss: 143.247:   0%|                          | 32/5000000 [00:57<2368:05:16,  1.71s/it]
[Work (2/5)] P-Loss: 56.704 | M-Loss: 143.247:   0%|                          | 33/5000000 [00:57<2377:53:17,  1.71s/it]
[Work (3/5)] P-Loss: 48.121 | M-Loss: 133.180:   0%|                          | 33/5000000 [00:59<2377:53:17,  1.71s/it]
[Work (3/5)] P-Loss: 48.121 | M-Loss: 133.180:   0%|                          | 34/5000000 [00:59<2394:34:32,  1.72s/it]
[Work (4/5)] P-Loss: 35.998 | M-Loss: 120.681:   0%|                          | 34/5000000 [01:00<2394:34:32,  1.72s/it]
[Work (4/5)] P-Loss: 35.998 | M-Loss: 120.681:   0%|                          | 35/5000000 [01:00<2400:33:27,  1.73s/it]
[Work (5/5)] P-Loss: 49.768 | M-Loss: 134.820:   0%|                          | 35/5000000 [01:02<2400:33:27,  1.73s/it]
[Work (5/5)] P-Loss: 49.768 | M-Loss: 134.820:   0%|                          | 36/5000000 [01:02<2411:00:59,  1.74s/it]
[LGN (1/1)] P-Loss: 4.609 | M-Unroll: 86.717:   0%|                           | 36/5000000 [01:04<2411:00:59,  1.74s/it]
[LGN (1/1)] P-Loss: 4.609 | M-Unroll: 86.717:   0%|                           | 37/5000000 [01:04<2333:20:31,  1.68s/it]
[Work (1/5)] P-Loss: 51.237 | M-Loss: 136.677:   0%|                          | 37/5000000 [01:05<2333:20:31,  1.68s/it]
